nohup: ignoring input
Dataset: Chinatown
Arguments: Namespace(run_name='ts2vec-5d', gpu=0, batch_size=8, lr=0.001, repr_dims=320, max_train_length=3000, iters=None, epochs=None, save_every=None, seed=42, depth=5, max_threads=8, eval=True)
Loading data... done. train_data shape: (20, 24, 1)
# Run 0
Epoch #48: loss=1.8083943724632263
Epoch #49: loss=1.7302545309066772
Epoch #50: loss=1.717241108417511
Epoch #51: loss=1.5692155957221985
Epoch #52: loss=1.8319912552833557
Epoch #53: loss=1.4385572671890259
Epoch #54: loss=1.9808438420295715
Epoch #55: loss=1.9019594192504883
Epoch #56: loss=1.5200766324996948
Epoch #57: loss=1.6118321418762207
Epoch #58: loss=1.7905833721160889
Epoch #59: loss=1.8489269018173218
Epoch #60: loss=1.7823763489723206
Epoch #61: loss=1.750331997871399
Epoch #62: loss=1.6739166975021362
Epoch #63: loss=1.8133905529975891
Epoch #64: loss=1.952578067779541
Epoch #65: loss=1.8284857273101807
Epoch #66: loss=1.930185317993164
Epoch #67: loss=1.7958842515945435
Epoch #68: loss=1.8940734267234802
Epoch #69: loss=1.7403197288513184
Epoch #70: loss=1.6536327004432678
Epoch #71: loss=1.8460683822631836
Epoch #72: loss=1.6736146211624146
Epoch #73: loss=1.8543300032615662
Epoch #74: loss=1.4652689695358276
Epoch #75: loss=1.7086247205734253
Epoch #76: loss=1.6418111324310303
Epoch #77: loss=1.6216305494308472
Epoch #78: loss=1.6329954862594604
Epoch #79: loss=1.9243290424346924
Epoch #80: loss=1.7468299865722656
Epoch #81: loss=1.6307236552238464
Epoch #82: loss=1.512424886226654
Epoch #83: loss=1.658371090888977
Epoch #84: loss=1.6420140266418457
Epoch #85: loss=1.873498260974884
Epoch #86: loss=1.7429664134979248
Epoch #87: loss=1.8990070223808289
Epoch #88: loss=1.5283530950546265
Epoch #89: loss=1.6382395029067993
Epoch #90: loss=1.4357172846794128
Epoch #91: loss=1.680983543395996
Epoch #92: loss=1.5202047228813171
Epoch #93: loss=1.668163776397705
Epoch #94: loss=1.7615751028060913
Epoch #95: loss=1.824883222579956
Epoch #96: loss=1.6334240436553955
Epoch #97: loss=1.6698826551437378
Epoch #98: loss=1.7081400156021118
Epoch #99: loss=1.7375268340110779

Training time: 0:00:02.856415

Evaluation result: {'acc': 0.9825072886297376, 'f1': 0.9784385214986171, 'precision': 0.97, 'recall': 0.9879518072289157, 'auprc': 0.9977327387462105}
# Run 3
Epoch #0: loss=12.71438980102539
Epoch #1: loss=6.962024688720703
Epoch #2: loss=3.7238693237304688
Epoch #3: loss=2.848108410835266
Epoch #4: loss=2.5327982902526855
Epoch #5: loss=2.4390575885772705
Epoch #6: loss=2.069526791572571
Epoch #7: loss=2.233833432197571
Epoch #8: loss=2.0426254272460938
Epoch #9: loss=2.1778749227523804
Epoch #10: loss=1.7773061990737915
Epoch #11: loss=2.0316879749298096
Epoch #12: loss=2.017192244529724
Epoch #13: loss=2.029634475708008
Epoch #14: loss=1.9090831279754639
Epoch #15: loss=2.238486409187317
Epoch #16: loss=1.8784911036491394
Epoch #17: loss=1.7640382647514343
Epoch #18: loss=1.911051869392395
Epoch #19: loss=2.039428949356079
Epoch #20: loss=2.009566605091095
Epoch #21: loss=1.8605751991271973
Epoch #22: loss=1.9613139629364014
Epoch #23: loss=1.8879862427711487
Epoch #24: loss=1.9141545295715332
Epoch #25: loss=1.8936835527420044
Epoch #26: loss=1.8398910760879517
Epoch #27: loss=1.9086483716964722
Epoch #28: loss=2.018817186355591
Epoch #29: loss=2.067982256412506
Epoch #30: loss=1.910778284072876
Epoch #31: loss=1.982462465763092
Epoch #32: loss=1.833633005619049
Epoch #33: loss=1.954884648323059
Epoch #34: loss=1.9169520139694214
Epoch #35: loss=1.9358900785446167
Epoch #36: loss=1.9856222867965698
Epoch #37: loss=1.9589223861694336
Epoch #38: loss=1.9733103513717651
Epoch #39: loss=1.95940500497818
Epoch #40: loss=1.807029664516449
Epoch #41: loss=2.094516634941101
Epoch #42: loss=1.9204695224761963
Epoch #43: loss=1.6636842489242554
Epoch #44: loss=1.8672066926956177
Epoch #45: loss=1.757034182548523
Epoch #46: loss=1.9521942138671875
Epoch #47: loss=1.7213977575302124
Epoch #48: loss=1.8119841814041138
Epoch #49: loss=1.9964736104011536
Epoch #50: loss=1.6869903206825256
Epoch #51: loss=1.64040207862854
Epoch #52: loss=1.660214126110077
Epoch #53: loss=1.763816237449646
Epoch #54: loss=2.1754956245422363
Epoch #55: loss=1.6796486377716064
Epoch #56: loss=1.5896450877189636
Epoch #57: loss=1.6280655264854431
Epoch #58: loss=1.876493752002716
Epoch #59: loss=1.8254286050796509
Epoch #60: loss=1.845382571220398
Epoch #61: loss=1.8257905840873718
Epoch #62: loss=1.758626401424408
Epoch #63: loss=1.6672009229660034
Epoch #64: loss=1.6746181845664978
Epoch #65: loss=1.7129666805267334
Epoch #66: loss=1.5035464763641357
Epoch #67: loss=1.7991528511047363
Epoch #68: loss=1.8537458181381226
Epoch #69: loss=1.6158340573310852
Epoch #70: loss=1.8190979361534119
Epoch #71: loss=1.5534965991973877
Epoch #72: loss=1.5878163576126099
Epoch #73: loss=1.7769078612327576
Epoch #74: loss=1.9777554273605347
Epoch #75: loss=1.9858149290084839
Epoch #76: loss=1.736857831478119
Epoch #77: loss=1.6307424306869507
Epoch #78: loss=1.7950794100761414
Epoch #79: loss=1.6644218564033508
Epoch #80: loss=1.5471190810203552
Epoch #81: loss=1.7239919900894165
Epoch #82: loss=1.608060598373413
Epoch #83: loss=1.7636666297912598
Epoch #84: loss=1.5451749563217163
Epoch #85: loss=1.6656962633132935
Epoch #86: loss=1.4620311260223389
Epoch #87: loss=1.6177732348442078
Epoch #88: loss=1.5034035444259644
Epoch #89: loss=1.6748432517051697
Epoch #90: loss=1.389168918132782
Epoch #91: loss=1.7501442432403564
Epoch #92: loss=1.4616326689720154
Epoch #93: loss=1.5091728568077087
Epoch #94: loss=1.6471375823020935
Epoch #95: loss=1.7299934029579163
Epoch #96: loss=1.4531574845314026
